"context_name","dominio","issn","record_count_2023","record_count_2024","record_count_2025","crecimiento_2023_2024","total_historico","activa_2024","region_pkp"
"Urbano","revistas.ubiobio.cl","0717-3997 0718-3607",19,19,11,0,658,TRUE,"Latin America & Caribbean"
"Derecho Público Iberoamericano","revistas.udd.cl","0719-2959 0719-5354",18,19,8,1,286,TRUE,"Latin America & Caribbean"
"Revista Chilena de Derecho y Tecnología","rchdt.uchile.cl","0719-2576 0719-2584",32,19,0,-13,222,TRUE,"Latin America & Caribbean"
"Revista Estudios en Educación","ojs.umc.cl","2452-4980",17,19,12,2,163,TRUE,"Latin America & Caribbean"
"Austral Journal of Veterinary Sciences","ajvs.cl","0719-8000 0719-8132",26,19,12,-7,210,TRUE,"Latin America & Caribbean"
"Revista Saberes Educativos","sabereseducativos.uchile.cl","2452-5014",16,19,9,3,138,TRUE,"Latin America & Caribbean"
"Pléyade","www.revistapleyade.cl","0718-655X 0719-3696",15,19,0,4,363,TRUE,"Latin America & Caribbean"
"Revista Matronería Actual","revistas.uv.cl","2452-5820",14,19,6,5,90,TRUE,"Latin America & Caribbean"
"Cuadernos Chilenos de Historia de la Educación","historiadelaeducacion.cl","0719-3483 2810-627X",18,19,0,1,200,TRUE,"Latin America & Caribbean"
"Diseña","www.revistadisena.uc.cl","0718-8447 2452-4298",21,19,0,-2,176,TRUE,"Latin America & Caribbean"
"Revista Relatos","relatos.unab.cl","2810-6253 2810-6369",0,19,0,19,29,TRUE,"Latin America & Caribbean"
"STEINIANA: Revista de Estudios Interdisciplinarios","revistasteiniana.uc.cl","0719-8728",9,19,0,10,83,TRUE,"Latin America & Caribbean"
"Revista Conserva","revistaconserva.cl","0717-3539 0719-3858",0,19,0,19,19,TRUE,"Latin America & Caribbean"
"Revista de Pensamiento Crítico Aymara","www.pensamientocriticoaymara.com","2707-692X 2707-6938",14,18,0,4,83,TRUE,"Latin America & Caribbean"
"Revista Ethika+","revistaethika.uchile.cl","2452-6037",20,18,11,-2,141,TRUE,"Latin America & Caribbean"
"ARQUITECTURAS DEL SUR","revistas.ubiobio.cl","0716-2677 0719-6466",15,18,8,3,568,TRUE,"Latin America & Caribbean"
"Estado, Gobierno y Gestión Pública","revistaeggp.uchile.cl","0717-6759 0717-8980",26,18,0,-8,223,TRUE,"Latin America & Caribbean"
"Investigaciones Geográficas: Una mirada desde el sur","investigacionesgeograficas.uchile.cl","0718-9575 0719-5370",17,18,0,1,369,TRUE,"Latin America & Caribbean"
"Base Diseño e Innovación","revistas.udd.cl","0719-515X 2452-5928",8,18,6,10,248,TRUE,"Latin America & Caribbean"
"RChD: creación y pensamiento","rchd.uchile.cl","0719-837X 0719-8426",18,18,0,0,223,TRUE,"Latin America & Caribbean"
"Estudios Internacionales","revistaei.uchile.cl","0716-0240 0719-3769",18,18,6,0,1620,TRUE,"Latin America & Caribbean"
"Resonancias. Revista de Filosofía","resonancias.uchile.cl","0719-790X",22,18,0,-4,144,TRUE,"Latin America & Caribbean"
"Revista INVI","revistainvi.uchile.cl","0718-1299 0718-8358",34,18,6,-16,801,TRUE,"Latin America & Caribbean"
"Gobierno y administración pública","revistas.udec.cl","2735-7074",16,18,19,2,78,TRUE,"Latin America & Caribbean"
"Revista de Inclusión Educativa y Diversidad (RIED)","ried.website","2810-6563",4,18,16,14,38,TRUE,"Latin America & Caribbean"
"Revista de Educación Religiosa","revistas.uft.cl","2452-5936",17,17,8,0,129,TRUE,"Latin America & Caribbean"
"Sustainability, Agri, Food and Environmental Research-DESCONTINUADA","safer.uct.cl","0719-3726",702,17,0,-685,719,TRUE,"Latin America & Caribbean"
"Tiempo Histórico","revistas.academia.cl","0718-7432 0719-5699",16,17,12,1,301,TRUE,"Latin America & Caribbean"
"URBE. Arquitectura, Ciudad y Territorio","revistas.udec.cl","2735-606X 2735-6078",18,17,8,-1,92,TRUE,"Latin America & Caribbean"
"Journal of Management & Business Studies","revistas.uautonoma.cl","2452-5340",7,17,8,10,80,TRUE,"Latin America & Caribbean"
"Lenguas Modernas","lenguasmodernas.uchile.cl","0716-0542 0719-5443",38,17,2,-21,674,TRUE,"Latin America & Caribbean"
"Revista de Derecho Económico","revistaderechoeconomico.uchile.cl","0716-310X 0719-7462",17,17,0,0,435,TRUE,"Latin America & Caribbean"
"Revista Punto Género","revistapuntogenero.uchile.cl","0719-0417 2735-7473",29,17,17,-12,241,TRUE,"Latin America & Caribbean"
"Anales de la Universidad de Chile","anales.uchile.cl","0365-7779 0717-8883",73,17,0,-56,7801,TRUE,"Latin America & Caribbean"
