"context_name","dominio","issn","record_count_2023","record_count_2024","record_count_2025","crecimiento_2023_2024","total_historico","activa_2024","region_pkp"
"Cultura y Religión","revistaculturayreligion.cl","0718-4727 0718-5472",15,17,6,2,407,TRUE,"Latin America & Caribbean"
"Palabra y Razón","revistapyr.ucm.cl","0719-2223 2452-4646",29,17,8,-12,183,TRUE,"Latin America & Caribbean"
"Vincularte","revistavincularte.cl","2810-6636",8,17,0,9,77,TRUE,"Latin America & Caribbean"
"Revista Latinoamericana de Derecho y Religión","revistalatderechoyreligion.uc.cl","0719-7160",22,17,10,-5,214,TRUE,"Latin America & Caribbean"
"Anales del Instituto de la Patagonia -- ISSN 0718-686X","www.analesdelinstitutodelapatagonia.cl","0718-686X",12,16,0,4,467,TRUE,"Latin America & Caribbean"
"Revista de Derecho Ambiental","revistas.uchile.cl","0718-0101 0719-4633",14,16,0,2,214,TRUE,"Latin America & Caribbean"
"Revista de derecho (Coquimbo)","revistaderecho.ucn.cl","0718-9753",20,16,126,-4,759,TRUE,"Latin America & Caribbean"
"Revista Chilena de Fonoaudiología","revfono.uchile.cl","0717-4659 0719-4692",19,16,4,-3,241,TRUE,"Latin America & Caribbean"
"Mutatis Mutandis: Revista Internacional de Filosofía","revistamutatismutandis.com","0719-4773",14,16,3,2,272,TRUE,"Latin America & Caribbean"
"RLA. Revista de Lingüística Teórica y Aplicada","revistas.udec.cl","0033-698X 0718-4883",17,16,9,-1,142,TRUE,"Latin America & Caribbean"
"Debates Jurídicos y Sociales","debatesjuridicosysociales.cl","0718-5685 2452-5693",0,16,16,16,140,TRUE,"Latin America & Caribbean"
"Journal of the Chilean Chemical Society","www.jcchems.com","0717-9324 0717-9707",45,16,30,-29,588,TRUE,"Latin America & Caribbean"
"Si Somos Americanos","www.sisomosamericanos.cl","0718-2910 0719-0948",14,16,15,2,410,TRUE,"Latin America & Caribbean"
"Revista Némesis","revistanemesis.uchile.cl","0718-0497 0719-8663",0,16,0,16,187,TRUE,"Latin America & Caribbean"
"UCMaule","revistaucmaule.ucm.cl","0717-2656 0719-9872",13,16,8,3,137,TRUE,"Latin America & Caribbean"
"Multidisciplinary Business Review","journals.publicknowledgeproject.org","0718-3992 0718-400X",16,16,7,0,213,TRUE,"Latin America & Caribbean"
"Anales de Teología","revistas.ucsc.cl","0717-4152 2735-6345",165,16,0,-149,250,TRUE,"Latin America & Caribbean"
"Revista Científica Cuadernos de Investigación","cuadernosdeinvestigacion.unach.cl","2810-6210",20,16,0,-4,36,TRUE,"Latin America & Caribbean"
"PEM. Revista de Didáctica, Evaluación e Innovación","revistapem.unab.cl","2735-7414",0,16,8,16,24,TRUE,"Latin America & Caribbean"
"Revista Realidad Educativa","revistas.uft.cl","2452-6134",16,15,14,-1,65,TRUE,"Latin America & Caribbean"
"International Journal of Medical and Surgical Sciences","revistas.uautonoma.cl","0719-3904 0719-532X",21,15,7,-6,405,TRUE,"Latin America & Caribbean"
"Gayana Botanica","gayanabotanica.cl","0016-5301 0717-6643",15,15,11,0,201,TRUE,"Latin America & Caribbean"
"MAD","revistamad.uchile.cl","0718-0527",21,15,0,-6,367,TRUE,"Latin America & Caribbean"
"Revista de Estudiantes de Medicina del Sur","rems.ufro.cl","0718-1906 0718-9958",8,15,0,7,136,TRUE,"Latin America & Caribbean"
"Revista de Estudios de la Justicia","rej.uchile.cl","0718-0853 0718-4735",16,15,0,-1,322,TRUE,"Latin America & Caribbean"
"Pensamiento y Acción Interdisciplinaria","revistapai.ucm.cl","0719-8078",6,15,11,9,144,TRUE,"Latin America & Caribbean"
"Inferencias: Boletín de Bioestadística","revistasdex.uchile.cl","Sin ISSN",12,15,10,3,67,TRUE,"Latin America & Caribbean"
"Cinta de Moebio. Revista de Epistemología de Ciencias Sociales","cintademoebio.uchile.cl","0717-554X",16,15,0,-1,576,TRUE,"Latin America & Caribbean"
"Praxispsi","praxispsy.udp.cl","2735-6957",16,15,19,-1,180,TRUE,"Latin America & Caribbean"
"Paulo Freire. Revista de Pedagogía Crítica","revistas.academia.cl","0717-9065 0719-8019",4,14,12,10,301,TRUE,"Latin America & Caribbean"
"Revista Chilena de Antropología","revistas.uchile.cl","0716-3312 0719-1472",16,14,0,-2,465,TRUE,"Latin America & Caribbean"
"RAN - Revista Academia & Negocios","revistas.udec.cl","0719-6245 0719-7713",46,14,17,-32,192,TRUE,"Latin America & Caribbean"
"Revista Jurídica Digital UANDES","rjd.uandes.cl","0719-7942",28,14,4,-14,160,TRUE,"Latin America & Caribbean"
"Encrucijada Americana","encrucijadaamericana.uahurtado.cl","0718-5766 0719-3432",16,14,0,-2,223,TRUE,"Latin America & Caribbean"
"Revista Chilena de Neurocirugía","revistachilenadeneurocirugia.com","0716-4491 2452-5553",29,14,15,-15,248,TRUE,"Latin America & Caribbean"
"Revista de Derecho de la Universidad Católica de la Santísima Concepción","revistas.ucsc.cl","0717-0599 2735-6337",19,14,13,-5,126,TRUE,"Latin America & Caribbean"
"Revista INTEREDU","revistas.ulagos.cl","2735-6523",16,14,0,-2,135,TRUE,"Latin America & Caribbean"
"RIME","revistas.ulagos.cl","2810-7187",0,14,0,14,14,TRUE,"Latin America & Caribbean"
"Littera Scripta","litterascripta.unab.cl","2735-6140",15,14,6,-1,70,TRUE,"Latin America & Caribbean"
"Textos Híbridos","textoshibridos.uai.cl","2157-0159",13,13,5,0,160,TRUE,"North America"
"European Journal of Education and Psychology","revistas.uautonoma.cl","1888-8992 1989-2209",12,13,9,1,242,TRUE,"Latin America & Caribbean"
"Revista Geográfica de Chile Terra Australis","www.revistaterraaustralis.cl","0378-8482 0719-9562",20,13,0,-7,89,TRUE,"Latin America & Caribbean"
"Revista Electrónica de Investigación en Docencia Universitaria","www.reidu.cl","2452-4875",14,13,13,-1,85,TRUE,"Latin America & Caribbean"
"Revista Educación Las Américas","revistas.udla.cl","0719-7128",16,13,12,-3,134,TRUE,"Latin America & Caribbean"
"Revista ProPulsión Interdisciplina en Ciencias Sociales y Humanidades","ojs.revpropulsion.cl","2452-5758",14,13,7,-1,77,TRUE,"Latin America & Caribbean"
"Amoxtli","revistas.uft.cl","0719-997X",21,13,12,-8,95,TRUE,"Latin America & Caribbean"
"Ludus Vitalis. Revista de Filosofía de las Ciencias de la Vida","revistas.uv.cl","2810-7098",1,13,0,12,29,TRUE,"Latin America & Caribbean"
