issn_consultado,sherpa_id,titulo_sherpa,editorial,open_access_policy,self_archiving_policy,copyright_policy,embargo_months,preprint_archiving,postprint_archiving,publisher_version_archiving,found_in_sherpa,error,context_name,dominio,total_record_count
0717-2257;0718-3631,,,,,,,,,,,False,,Revista de Ciencias Sociales,revistacienciasociales.cl,157
0719-7519,,,,,,,,,,,False,,Dorsal. Revista de Estudios Foucaultianos,coloquio2019.cenaltes.cl,190
2707-692X;2707-6938,,,,,,,,,,,False,,Revista de Pensamiento Crítico Aymara,www.pensamientocriticoaymara.com,75
0719-9368,,,,,,,,,,,False,,Latin American Journal of Trade Policy,lajtp.uchile.cl,89
0716-9671;0719-0867,,,,,,,,,,,False,,Tiempo y Espacio,revistas.ubiobio.cl,371
0718-4654;0718-4662,,,,,,,,,,,False,,CAPIC REVIEW,capicreview.com,99
0719-0093;0719-7551,,,,,,,,,,,False,,Revista Chilena de Derecho del Trabajo y de la Seguridad Social,revistatrabajo.uchile.cl,350
0718-4530;0718-4646,,,,,,,,,,,False,,Ciencia & Investigación Forestal,revista.infor.cl,590
0717-2656;0719-9872,,,,,,,,,,,False,,UCMaule,revistaucmaule.ucm.cl,121
2452-493X,,,,,,,,,,,False,,Cuadernos de Beauchef,revistasdex.uchile.cl,128
0716-5072,,,,,,,,,,,False,,Acta Entomológica Chilena,revistas.umce.cl,249
2735-7236,,,,,,,,,,,False,,En las Fronteras del Derecho,fdd.ufro.cl,36
0717-4675;0718-9273,,,,,,,,,,,False,,Veritas,revistatrabajosocial.uc.cl,474
0718-2023;0718-4018,,,,,,,,,,,False,,Revista F@ro,revistas.upla.cl,396
2157-0159,,,,,,,,,,,False,,Textos Híbridos,textoshibridos.uai.cl,148
0718-686X,,,,,,,,,,,False,,Anales del Instituto de la Patagonia -- ISSN 0718-686X,www.analesdelinstitutodelapatagonia.cl,458
0716-0267;0719-5249,,,,,,,,,,,False,,Revista de Derecho Público,revistaderechopublico.uchile.cl,1360
1888-8992;1989-2209,,,,,,,,,,,False,,European Journal of Education and Psychology,revistas.uautonoma.cl,227
0719-885X,,,,,,,,,,,False,,Átemus,revistaatemus.uchile.cl,142
0719-6415;0719-6423,,,,,,,,,,,False,,Cuadernos de Teoría Social,cuadernosdeteoriasocial.udp.cl,126
0304-2758;0718-5286,,,,,,,,,,,False,,Estudios de Economía,estudiosdeeconomia.uchile.cl,616
0719-7764,,,,,,,,,,,False,,Benessere. Revista de Enfermería,revistas.uv.cl,72
0719-7322,,,,,,,,,,,False,,Archivos de la Sociedad Chilena de Medicina del Deporte,revistasochmedep.cl,69
0718-302X,,,,,,,,,,,False,,Revista de Derecho y Ciencias Sociales,rduss.cl,59
0719-5176,,,,,,,,,,,False,,Nueva Revista del Pacífico,revistas.upla.cl,208
0717-9901;0719-0875,,,,,,,,,,,False,,Horizontes Empresariales,revistas.ubiobio.cl,218
0719-210X;0719-482X,,,,,,,,,,,False,,Revista Tribuna Internacional,tribunainternacional.uchile.cl,205
0717-7828;0719-1014,,,,,,,,,,,False,,Contextos: Estudios de Humanidades y Ciencias Sociales,revistas.umce.cl,804
2735-6299,,,,,,,,,,,False,,Estudios de Transporte,estudiosdetransporte.org,143
0719-1820;0719-1839,,,,,,,,,,,False,,Revista de Gestión Pública,revistas.uv.cl,140
0716-5714;0719-5117,,,,,,,,,,,False,,Revista de Orientación Educacional,www.roeupla.cl,118
0718-9656,,,,,,,,,,,False,,Revista Enfoques: Ciencia Política y Administración Pública,www.revistaenfoques.cl,345
0719-2215;0719-689X,,,,,,,,,,,False,,Revista Chilena de Estudios Medievales,revistas.ugm.cl,223
0718-0446;0719-448X,,,,,,,,,,,False,,Summa Psicológica,summapsicologica.cl,329
0719-4714;0719-4803,,,,,,,,,,,False,,Economía y Política,www.economiaypolitica.cl,85
0716-9884,,,,,,,,,,,False,,Cuadernos de Filosofía,revistas.udec.cl,135
0716-5927;0718-8870,,,,,,,,,,,False,,Economic Analysis Review,www.rae-ear.org,450
0719-5761,,,,,,,,,,,False,,Applied Sciences in Dentistry,revistas.uv.cl,106
2452-4301,,,,,,,,,,,False,,"Trenzar. Revista de Educación Popular, Pedagogía Crítica e Investigación Militante (ISSN 2452-4301)",revistatrenzar.cl,51
0719-3084;0719-9910,,,,,,,,,,,False,,Revista de Investigación Aplicada en Ciencias Empresariales,iace.uv.cl,90
2444-9067;2445-0308,,,,,,,,,,,False,,European Journal of Health Research,revistas.uautonoma.cl,129
