issn_buscado,openalex_id,works_count,cited_by_count,h_index,2yr_mean_citedness,is_in_openalex,error
0326-632X;1668-8538,,0,0,0,0.0,False,
0075-7411;2591-6386,,0,0,0,0.0,False,
2346-9935,,0,0,0,0.0,False,
2422-6459,,0,0,0,0.0,False,
2344-9144,,0,0,0,0.0,False,
1666-485X;1668-723X,,0,0,0,0.0,False,
0521-517X;2314-1239,,0,0,0,0.0,False,
1668-0030;1850-0013,,0,0,0,0.0,False,
0325-8238;2525-1627,,0,0,0,0.0,False,
2314-2561,S2739229005,480,1054,9,0.19753086419753085,True,
0325-1926;2618-1711,,0,0,0,0.0,False,
0326-9671;2524-9339,,0,0,0,0.0,False,
1667-5703;1851-9776,,0,0,0,0.0,False,
1851-877X,,0,0,0,0.0,False,
2344-9292,,0,0,0,0.0,False,
3008-7015,,0,0,0,0.0,False,
2451-6961,S4306522079,233,80,4,0.0,True,
1853-7049,S2739281462,322,113,4,0.10344827586206896,True,
0327-5159;1853-8126,,0,0,0,0.0,False,
1514-6774,,0,0,0,0.0,False,
0524-0476;1853-8460,,0,0,0,0.0,False,
2314-3312,S4210231950,110,31,3,0.11320754716981132,True,
3008-7570,S4387997719,0,0,22,2.814814814814815,True,
2362-4191,S4210179277,366,232,6,0.013333333333333334,True,
0328-8773;1853-001X,,0,0,0,0.0,False,
2250-7779;2314-1174,,0,0,0,0.0,False,
2408-4573,,0,0,0,0.0,False,
2796-9851,S4387281758,0,0,1,0.03125,True,
2313-9730,,0,0,0,0.0,False,
2591-5150;2591-5320,,0,0,0,0.0,False,
2313-9463,,0,0,0,0.0,False,
2250-5415;2250-5660,,0,0,0,0.0,False,
1852-9372,,0,0,0,0.0,False,
0590-1901;2362-485X,,0,0,0,0.0,False,
1666-0714;1853-984X,,0,0,0,0.0,False,
1515-5994,S4210240727,279,1241,14,0.2,True,
1515-5994,S4210240727,279,1241,14,0.2,True,
1853-810X,S4306526122,360,282,7,0.0,True,
1851-7129,,0,0,0,0.0,False,
0326-2774;2524-9525,,0,0,0,0.0,False,
