issn_buscado,openalex_id,works_count,cited_by_count,h_index,2yr_mean_citedness,is_in_openalex,error,is_oa,is_in_doaj,apc_usd,apc_prices,host_organization_name,host_organization,societies,i10_index,is_core,counts_by_year,created_date,updated_date,display_name,homepage_url,country_code,type,abbreviated_title,alternate_titles,context_name,dominio,total_historico,record_count_2023,indice_visibilidad,tasa_indexacion_openalex
0718-5162,S2739091560,564,2330,19,1.2034883720930232,True,Unexpected error: 'str' object has no attribute 'get',True,True,,[],,,[],59,False,[],2016-06-24T00:00:00,2025-11-02T23:13:26.583910,Revista de Estudios y Experiencias en Educación,http://www.rexe.cl/ojournal/index.php/rexe/index,,journal,,"['REXE', 'REXE.']",REXE- Revista de Estudios y Experiencias en Educación,revistas.ucsc.cl,686,66,3.3965014577259476,0.8221574344023324
0716-5811;0717-621X,S4210215706,1141,1866,16,0.7054263565891473,True,,True,True,,[],,,[],42,False,"[{'year': 2008, 'works_count': 22, 'cited_by_count': 46}, {'year': 2007, 'works_count': 29, 'cited_by_count': 21}, {'year': 2006, 'works_count': 24, 'cited_by_count': 58}, {'year': 2005, 'works_count': 24, 'cited_by_count': 64}, {'year': 2004, 'works_count': 19, 'cited_by_count': 23}, {'year': 2003, 'works_count': 23, 'cited_by_count': 34}, {'year': 2001, 'works_count': 32, 'cited_by_count': 101}, {'year': 2000, 'works_count': 21, 'cited_by_count': 4}, {'year': 1998, 'works_count': 31, 'cited_by_count': 13}, {'year': 1997, 'works_count': 19, 'cited_by_count': 24}]",2025-10-10T00:00:00,2025-11-02T23:13:26.583910,Literatura y lingüística,http://ediciones.ucsh.cl/index.php/lyl/index,,journal,,[],Literatura y Lingüística,ediciones.ucsh.cl,588,63,3.173469387755102,1.9404761904761905
0067-9674;0718-9303,S2736954754,798,1717,18,0.34375,True,Unexpected error: 'str' object has no attribute 'get',True,True,,[],,,[],41,False,[],2025-10-10T00:00:00,2025-10-27T03:07:04.448195,Boletín de filología,https://boletinfilologia.uchile.cl/,,journal,,[],Boletín de Filología,boletinfilologia.uchile.cl,1184,62,1.4501689189189189,0.6739864864864865
0718-4816,S4210190511,1111,1236,11,0.02,True,,True,False,,[],,,[],13,False,"[{'year': 2015, 'works_count': 46, 'cited_by_count': 43}, {'year': 2014, 'works_count': 43, 'cited_by_count': 46}, {'year': 2013, 'works_count': 44, 'cited_by_count': 64}, {'year': 2012, 'works_count': 42, 'cited_by_count': 48}, {'year': 2011, 'works_count': 44, 'cited_by_count': 61}, {'year': 2010, 'works_count': 45, 'cited_by_count': 63}, {'year': 2009, 'works_count': 46, 'cited_by_count': 124}, {'year': 2008, 'works_count': 84, 'cited_by_count': 106}, {'year': 2007, 'works_count': 52, 'cited_by_count': 78}, {'year': 2006, 'works_count': 37, 'cited_by_count': 89}]",2025-10-10T00:00:00,2025-10-27T03:11:17.418693,Revista de otorrinolaringología y cirugía de cabeza y cuello,http://www.scielo.cl/orl.htm,,journal,,[],Revista de otorrinolaringología y cirugía de cabeza y cuello,revistaotorrino-sochiorl.cl,994,56,1.243460764587525,1.1177062374245472
2810-6032,S4393915643,98,2,1,0.021739130434782608,True,Unexpected error: 'NoneType' object is not iterable,True,False,,,,,[],0,False,[],2025-10-10T00:00:00,2025-10-27T03:11:17.418693,Revista Chilena de Reumatología/Revista chilena de reumatología,,,journal,,[],Revista Chilena de Reumatología,revistareumatologia.cl,88,56,0.022727272727272728,1.1136363636363635
2810-6466,,0,0,0,0.0,False,,False,False,,[],,,[],0,False,[],,,,,,,,[],Progress Annals: Journal of Progressive Research,academiaone.org,174,53,0.0,0.0
0717-7917,S996477303,723,2334,19,0.8012048192771084,True,Unexpected error: 'str' object has no attribute 'get',True,False,,[],,,[],58,False,[],2025-10-10T00:00:00,2025-11-02T23:16:52.074716,Boletin Latinoamericano y del Caribe de plantas Medicinales y Aromaticas,http://www.blacpma.usach.cl/,,journal,,['BLACPMA'],Boletín Latinoamericano y del Caribe de Plantas Medicinales y Aromáticas,blacpma.ms-editions.cl,439,52,5.316628701594533,1.6469248291571754
0719-367X,S4210167915,26,149,7,0.0,True,Unexpected error: 'str' object has no attribute 'get',True,True,,[],,,[],5,False,[],2025-10-10T00:00:00,2025-10-27T03:11:17.418693,Cuadernos de información,http://cuadernos.info,,journal,,[],Cuadernos.info,cuadernos.info,822,52,0.18126520681265207,0.031630170316301706
0717-3644;0718-221X,S967659979,945,10261,40,1.4083333333333334,True,Unexpected error: 'str' object has no attribute 'get',True,True,,[],,,[],335,False,[],2025-10-10T00:00:00,2025-10-29T23:22:22.306208,Maderas Ciencia y tecnología,http://revistas.ubiobio.cl/index.php/MCT,,journal,,[],Maderas-Cienc Tecnol,revistas.ubiobio.cl,875,51,11.726857142857142,1.08
0719-8213,S4210214574,344,182,7,0.2088607594936709,True,,True,True,,[],,,[],3,False,"[{'year': 2025, 'works_count': 27, 'cited_by_count': 0}, {'year': 2024, 'works_count': 78, 'cited_by_count': 15}, {'year': 2023, 'works_count': 53, 'cited_by_count': 18}, {'year': 2022, 'works_count': 43, 'cited_by_count': 18}, {'year': 2021, 'works_count': 36, 'cited_by_count': 16}, {'year': 2020, 'works_count': 25, 'cited_by_count': 8}, {'year': 2019, 'works_count': 28, 'cited_by_count': 34}, {'year': 2018, 'works_count': 31, 'cited_by_count': 60}, {'year': 2017, 'works_count': 23, 'cited_by_count': 13}]",2025-10-10T00:00:00,2025-10-27T03:11:17.418693,Autoctonia Revista de Ciencias Sociales e Historia,http://www.autoctonia.cl,,journal,,['Revista de ciencias sociales e historia'],Autoctonía. Revista de Ciencias Sociales e Historia,www.autoctonia.cl,275,51,0.6618181818181819,1.250909090909091
2735-6027,S5407026183,341,42,2,0.07894736842105263,True,Unexpected error: 'NoneType' object is not iterable,True,False,,,,,[],0,False,[],2025-10-10T00:00:00,2025-10-30T23:39:23.326872,Revista Confluencia,,,journal,,[],Revista Confluencia,revistas.udd.cl,266,51,0.15789473684210525,1.281954887218045
0717-7194,S973993200,641,1755,17,0.2692307692307692,True,Unexpected error: 'str' object has no attribute 'get',True,True,,[],,,[],49,False,[],2025-10-10T00:00:00,2025-10-27T03:07:04.448195,Historia,http://revistahistoria.uc.cl/index.php/rhis,,journal,,[],Historia,revistahistoria.uc.cl,911,51,1.9264544456641053,0.703622392974753
0716-9108;0717-8832,S4210230081,325,211,4,0.2288135593220339,True,Unexpected error: 'str' object has no attribute 'get',True,True,,[],,,[],3,False,[],2016-06-24T00:00:00,2025-10-27T03:07:04.448195,Revista de Historia (Concepción),http://www.revistas.una.ac.cr/index.php/historia,,journal,,[],Revista de Historia,revistas.udec.cl,524,49,0.4026717557251908,0.6202290076335878
0719-644X;0719-6458,S4210181961,542,331,6,0.37362637362637363,True,,True,False,,[],,,[],0,False,"[{'year': 2022, 'works_count': 20, 'cited_by_count': 20}, {'year': 2021, 'works_count': 36, 'cited_by_count': 42}, {'year': 2020, 'works_count': 44, 'cited_by_count': 52}, {'year': 2019, 'works_count': 44, 'cited_by_count': 67}, {'year': 2018, 'works_count': 14, 'cited_by_count': 18}, {'year': 2017, 'works_count': 204, 'cited_by_count': 77}, {'year': 2016, 'works_count': 33, 'cited_by_count': 7}, {'year': 2015, 'works_count': 29, 'cited_by_count': 10}, {'year': 2014, 'works_count': 26, 'cited_by_count': 4}, {'year': 2011, 'works_count': 1, 'cited_by_count': 0}]",2025-10-10T00:00:00,2025-10-27T03:07:04.448195,Revista Temas Sociológicos,http://ediciones.ucsh.cl/ojs/index.php?journal=TSUCSH,,journal,,[],Revista Temas Sociológicos,ediciones.ucsh.cl,362,49,0.914364640883978,1.4972375690607735
0719-4706,S2737790442,2085,1388,16,0.2033898305084746,True,Unexpected error: 'str' object has no attribute 'get',True,False,80.0,"[{'price': 80, 'currency': 'USD'}]",,,[],24,False,[],2025-10-10T00:00:00,2025-10-27T03:11:17.418693,Revista Inclusiones,http://www.revistainclusiones.org/,,journal,,['Revista de humanidades y ciencias sociales'],Revista Inclusiones,revistainclusiones.org,2671,47,0.5196555597154624,0.7806065144140771
0717-7801;2735-6353,S4220651285,155,68,3,0.4444444444444444,True,Unexpected error: 'str' object has no attribute 'get',True,True,,[],,,[],0,False,[],2025-10-10T00:00:00,2025-10-30T23:39:23.326872,Revista de Filosofía,https://revistas.ucm.es/index.php/RESF,,journal,,[],Revista de Filosofía UCSC,revistas.ucsc.cl,123,47,0.5528455284552846,1.2601626016260163
0719-6245;0719-7713,S4210179423,110,183,5,0.8904109589041096,True,Unexpected error: 'str' object has no attribute 'get',True,True,,[],,,[],2,False,[],2025-10-10T00:00:00,2025-10-27T03:07:04.448195,RAN Revistas Academia y Negocios,http://ran.udec.cl,,journal,,['Revista Academia & Negocios'],RAN - Revista Academia & Negocios,revistas.udec.cl,171,46,1.0701754385964912,0.6432748538011696
2810-6385,,0,0,0,0.0,False,,False,False,,[],,,[],0,False,[],,,,,,,,[],Open Herald: Periodical of Methodical Research,academiaone.org,149,46,0.0,0.0
