oai_url,application,version,earliest_datestamp,repository_name,set_spec,context_name,stats_id,total_record_count,issn,country_marc,country_issn,country_tld,country_ip,country_consolidated,last_completed_update,first_beacon,last_beacon,last_oai_response,unresponsive_endpoint,unresponsive_context,record_count_2020,record_count_2021,record_count_2022,record_count_2023,issn_buscado,openalex_id,works_count,cited_by_count,h_index,2yr_mean_citedness,is_in_openalex,error,indice_visibilidad,indice_visibilidad_ajustado,tasa_indexacion_openalex,es_chile_activa
https://cuadernosdearte.uc.cl/index.php/index/oai,ojs,3.2.1.4,2018-12-11T11:20:45Z,Revistas UC,CDA,CUADERNOS DE ARTE,5a281158ae477,74,0717-2672,cl,CL,CL,,cl,2024-10-12 05:30:07+00:00,2024-05-30 21:27:48+00:00,2024-05-30 21:32:35+00:00,2024-10-12 05:27:40+00:00,0,0,0,0,0,74,0717-2672,S4387290231,0,0,1,0.0,True,,0.0,0.0,0.0,True
https://www.revistas.unam.mx/index.php/index/oai,ojs,3.3.0.8,2024-10-07T04:29:18Z,Revistas de la UNAM,aidis,"Revista AIDIS de ingeniería y ciencias ambientales: Investigación, desarrollo y práctica",index_934,897,0718-378X,cl,CL,MX,MX,cl,2024-10-07 04:34:38+00:00,2021-05-15 15:42:27+00:00,2024-10-18 18:04:59+00:00,2024-10-07 04:29:19+00:00,0,0,81,101,104,69,0718-378X,S4210190119,315,292,5,0.3051948051948052,True,,0.3255295429208473,0.926984126984127,0.3511705685618729,True
https://revistas.ucsc.cl/index.php/index/oai,ojs,3.3.0.7,2016-05-27T15:05:17Z,Revistas Académicas,rexe,REXE- Revista de Estudios y Experiencias en Educación,465483f45349a,686,0718-5162,cl,CL,CL,CL,cl,2024-10-21 10:03:39+00:00,2020-06-27 11:49:46+00:00,2024-10-15 19:33:41+00:00,2024-10-21 10:02:33+00:00,0,0,6,53,78,66,0718-5162,S2739091560,388,1870,18,1.137931034482759,True,,2.7259475218658893,4.819587628865979,0.565597667638484,True
https://revistaotorrino-sochiorl.cl/index.php/index/oai,ojs,3.3.0.11,2022-08-03T22:11:45Z,,orl,Revista de otorrinolaringología y cirugía de cabeza y cuello,62e9862bcc81a,994,0718-4816,cl,CL,CL,,cl,2024-09-29 06:10:43+00:00,2022-08-02 13:17:27+00:00,2024-10-09 14:47:00+00:00,2024-09-29 06:10:38+00:00,0,0,0,0,175,56,0718-4816,S4210190511,966,1213,11,0.0687022900763358,True,,1.2203219315895373,1.2556935817805384,0.971830985915493,True
https://revistareumatologia.cl/index.php/index/oai,ojs,3.3.0.11,2022-09-14T18:43:49Z,,rcr,Revista Chilena de Reumatología,631b48cf760df,88,2810-6032,cl,CL,CL,,cl,2024-10-01 04:22:42+00:00,2022-09-09 07:41:22+00:00,2024-09-11 20:53:41+00:00,2024-10-01 04:22:35+00:00,0,0,0,0,12,56,2810-6032,S4393915643,0,0,0,0.0,True,,0.0,0.0,0.0,True
https://academiaone.org/index.php/index/oai,ojs,3.3.0.14,2023-04-24T17:51:47Z,Academia One,8,Progress Annals: Journal of Progressive Research,642e721191c1f,174,2810-6466,cl,CL,,,cl,2024-10-20 08:18:23+00:00,2023-04-28 09:06:58+00:00,2024-04-12 07:20:29+00:00,2024-10-20 08:17:35+00:00,0,0,0,0,0,53,2810-6466,,0,0,0,0.0,False,,0.0,0.0,0.0,True
https://blacpma.ms-editions.cl/index.php/index/oai,ojs,3.2.1.1,2021-07-03T23:18:22Z,,blacpma,Boletín Latinoamericano y del Caribe de Plantas Medicinales y Aromáticas,5f1ce497eebb0,439,0717-7917,Chile,CL,CL,CL,cl,2024-10-09 05:09:41+00:00,2020-07-25 19:05:01+00:00,2024-09-14 17:10:49+00:00,2024-10-09 05:09:36+00:00,0,0,52,64,55,52,0717-7917,S996477303,1115,4854,26,0.7913043478260869,True,,11.056947608200456,4.353363228699552,2.5398633257403187,True
https://cuadernos.info/index.php/index/oai,ojs,3.2.1.4,2018-12-11T11:20:45Z,Revistas UC,cdi,Cuadernos.info,5a281158ae477,822,0719-367X,cl,CL,,,cl,2024-09-10 07:38:39+00:00,2024-01-26 14:02:58+00:00,2024-10-17 19:14:15+00:00,2024-09-10 07:34:40+00:00,0,0,73,74,37,52,0719-367X,S4210167915,35,129,17,0.0,True,,0.156934306569343,3.6857142857142855,0.0425790754257907,True
http://www.autoctonia.cl/index.php/index/oai,ojs,3.1.2.4,2020-11-10T16:44:43Z,,autoc,Autoctonía. Revista de Ciencias Sociales e Historia,57f31fc89ed92,275,0719-8213,Chile,CL,CL,CL,cl,2024-09-29 05:35:50+00:00,2020-06-04 11:55:10+00:00,2024-10-18 21:18:34+00:00,2024-09-29 05:35:44+00:00,0,0,23,33,43,51,0719-8213,S4210214574,185,135,6,0.1571428571428571,True,,0.4909090909090909,0.7297297297297297,0.6727272727272727,True
https://revistas.udd.cl/index.php/index/oai,ojs,3.3.0.17,2020-09-12T03:32:39Z,Portal de revistas académicas de la Universidad del Desarrollo,confluencia,Revista Confluencia,5e01416836acf,266,2735-6027,Chile,CL,CL,CL,cl,2024-10-07 05:27:00+00:00,2020-05-13 09:31:31+00:00,2024-10-21 01:37:00+00:00,2024-10-07 05:26:40+00:00,0,0,84,52,53,51,2735-6027,,0,0,0,0.0,False,,0.0,0.0,0.0,True
